Sales Organization,Root CNPJ,Client Name,Transaction Date,Document Type,Value Confirmed,Value Reserved,NFE Number,NFE Item,PO Number
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-04-01,ZOR,0.0,44827.89,NF1028,000010,PO1028
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-04-01,ZG2,29164.67,0.0,NF1029,000010,PO1029
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-05-01,ZF1,16551.27,0.0,NF1030,000010,PO1030
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-05-01,ZF2,48428.32,0.0,NF1031,000010,PO1031
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-05-01,ZF2,71325.13,0.0,NF1032,000010,PO1032
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-05-01,ZREA,0.0,-44903.06,NF1033,000010,PO1033
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-06-01,ZF1,49394.21,0.0,NF1034,000010,PO1034
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-06-01,ZS2,52582.24,0.0,NF1035,000010,PO1035
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-06-01,ZOR,0.0,-5784.09,NF1036,000010,PO1036
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-06-01,ZOR,0.0,27268.08,NF1037,000010,PO1037
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-06-01,ZS2,53595.96,0.0,NF1038,000010,PO1038
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-06-01,ZF1,59195.81,0.0,NF1039,000010,PO1039
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-06-01,ZG2,11632.78,0.0,NF1040,000010,PO1040
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-06-01,ZF1,-42112.97,0.0,NF1041,000010,PO1041
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-06-01,ZG2,34126.75,0.0,NF1042,000010,PO1042
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-07-01,ZREB,0.0,-13002.58,NF1043,000010,PO1043
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-07-01,ZREA,0.0,65315.24,NF1044,000010,PO1044
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-07-01,ZOR,0.0,-47066.82,NF1045,000010,PO1045
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-07-01,ZREB,0.0,-3789.67,NF1046,000010,PO1046
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-07-01,ZS2,-34777.55,0.0,NF1047,000010,PO1047
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-07-01,ZTO,-21632.99,0.0,NF1048,000010,PO1048
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-07-01,ZG2,-33185.77,0.0,NF1049,000010,PO1049
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-07-01,ZG1,1726.7,0.0,NF1050,000010,PO1050
X401,45453214,PROFARMA DIST PROD FCEUTICO SA,2026-07-01,ZREB,0.0,-39524.43,NF1051,000010,PO1051
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-04-01,ZREA,0.0,21427.19,NF1052,000010,PO1052
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-04-01,ZF2,56506.38,0.0,NF1053,000010,PO1053
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-04-01,ZS1,-13805.26,0.0,NF1054,000010,PO1054
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-04-01,ZREA,0.0,78240.72,NF1055,000010,PO1055
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-04-01,ZREA,0.0,74505.06,NF1056,000010,PO1056
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-04-01,ZF2,-39211.99,0.0,NF1057,000010,PO1057
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-04-01,ZF2,-19845.61,0.0,NF1058,000010,PO1058
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-05-01,ZTO,13045.15,0.0,NF1059,000010,PO1059
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-05-01,ZS2,-26295.43,0.0,NF1060,000010,PO1060
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-05-01,ZG2,-49467.83,0.0,NF1061,000010,PO1061
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-05-01,ZREA,0.0,19496.83,NF1062,000010,PO1062
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-05-01,ZS2,23624.36,0.0,NF1063,000010,PO1063
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-06-01,ZS1,73529.11,0.0,NF1064,000010,PO1064
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-06-01,ZTO,9363.68,0.0,NF1065,000010,PO1065
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-06-01,ZS1,1009.26,0.0,NF1066,000010,PO1066
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-06-01,ZREA,0.0,1235.6,NF1067,000010,PO1067
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-06-01,ZREB,0.0,32457.64,NF1068,000010,PO1068
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-07-01,ZG1,-41244.81,0.0,NF1069,000010,PO1069
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-07-01,ZG1,7281.49,0.0,NF1070,000010,PO1070
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-07-01,ZF1,-5793.03,0.0,NF1071,000010,PO1071
X401,61940292,DIST MEDIC SANTA CRUZ LTDA,2026-07-01,ZTO,-36690.65,0.0,NF1072,000010,PO1072
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-04-01,ZF2,19760.43,0.0,NF1073,000010,PO1073
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-04-01,ZOR,0.0,29785.84,NF1074,000010,PO1074
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-04-01,ZF1,63663.21,0.0,NF1075,000010,PO1075
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-04-01,ZS2,-1090.18,0.0,NF1076,000010,PO1076
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-04-01,ZG2,74210.84,0.0,NF1077,000010,PO1077
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-04-01,ZS2,-2658.75,0.0,NF1078,000010,PO1078
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-04-01,ZF1,-35004.04,0.0,NF1079,000010,PO1079
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-04-01,ZREB,0.0,79103.35,NF1080,000010,PO1080
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-05-01,ZREB,0.0,12898.51,NF1081,000010,PO1081
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-05-01,ZF1,-31264.73,0.0,NF1082,000010,PO1082
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-05-01,ZOR,0.0,46245.66,NF1083,000010,PO1083
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-05-01,ZREB,0.0,57751.2,NF1084,000010,PO1084
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-05-01,ZF2,17123.49,0.0,NF1085,000010,PO1085
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-05-01,ZG1,73628.12,0.0,NF1086,000010,PO1086
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-05-01,ZS1,-2972.18,0.0,NF1087,000010,PO1087
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-06-01,ZS1,68838.95,0.0,NF1088,000010,PO1088
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-06-01,ZS1,-11248.34,0.0,NF1089,000010,PO1089
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-06-01,ZF1,40505.58,0.0,NF1090,000010,PO1090
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-06-01,ZG2,17391.59,0.0,NF1091,000010,PO1091
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-06-01,ZF2,-3759.5,0.0,NF1092,000010,PO1092
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-06-01,ZG1,19237.01,0.0,NF1093,000010,PO1093
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-06-01,ZS1,-7143.55,0.0,NF1094,000010,PO1094
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-06-01,ZG1,29719.67,0.0,NF1095,000010,PO1095
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-06-01,ZG1,54790.22,0.0,NF1096,000010,PO1096
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-07-01,ZREA,0.0,46183.49,NF1097,000010,PO1097
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-07-01,ZG1,-24010.66,0.0,NF1098,000010,PO1098
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-07-01,ZREB,0.0,-3776.87,NF1099,000010,PO1099
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-07-01,ZTO,78648.47,0.0,NF1100,000010,PO1100
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-07-01,ZG2,11391.21,0.0,NF1101,000010,PO1101
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-07-01,ZG1,40027.85,0.0,NF1102,000010,PO1102
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-07-01,ZOR,0.0,8139.6,NF1103,000010,PO1103
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-07-01,ZOR,0.0,74150.08,NF1104,000010,PO1104
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-07-01,ZOR,0.0,-39530.04,NF1105,000010,PO1105
X401,46054219,SOLFARMA COM PROD FCEUTICO S A,2026-07-01,ZF1,-20510.04,0.0,NF1106,000010,PO1106
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-04-01,ZOR,0.0,-23431.46,NF1107,000010,PO1107
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-04-01,ZS2,78082.37,0.0,NF1108,000010,PO1108
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-04-01,ZS2,59256.62,0.0,NF1109,000010,PO1109
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-04-01,ZREB,0.0,68195.9,NF1110,000010,PO1110
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-04-01,ZOR,0.0,53953.69,NF1111,000010,PO1111
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-05-01,ZF1,68271.03,0.0,NF1112,000010,PO1112
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-05-01,ZG1,12144.26,0.0,NF1113,000010,PO1113
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-05-01,ZF2,6410.26,0.0,NF1114,000010,PO1114
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-05-01,ZOR,0.0,-38722.52,NF1115,000010,PO1115
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-06-01,ZREA,0.0,10210.87,NF1116,000010,PO1116
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-06-01,ZF1,44223.83,0.0,NF1117,000010,PO1117
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-06-01,ZF2,79104.61,0.0,NF1118,000010,PO1118
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-06-01,ZTO,-30350.41,0.0,NF1119,000010,PO1119
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-06-01,ZREB,0.0,54845.26,NF1120,000010,PO1120
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-06-01,ZF2,29504.53,0.0,NF1121,000010,PO1121
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-06-01,ZS2,77439.77,0.0,NF1122,000010,PO1122
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-06-01,ZOR,0.0,-29731.38,NF1123,000010,PO1123
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-06-01,ZS1,-32972.1,0.0,NF1124,000010,PO1124
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-07-01,ZF1,18455.54,0.0,NF1125,000010,PO1125
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-07-01,ZF2,6395.23,0.0,NF1126,000010,PO1126
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-07-01,ZG1,57400.18,0.0,NF1127,000010,PO1127
X401,39455032,MEDNORTE DIST MEDIC LTDA,2026-07-01,ZG1,-46360.82,0.0,NF1128,000010,PO1128
